case_type,global_index,true_sat,claimed_sat,rf_match,confidence_band,hmac_pass,freshness_pass,decision,combined_caught,higher_layer_only_caught
genuine,523,51,51,False,high,True,True,reject,True,False
genuine,524,85,85,False,high,True,True,reject,True,False
genuine,525,51,51,False,high,True,True,reject,True,False
genuine,526,109,109,True,low,True,True,flag,False,False
genuine,527,109,109,True,low,True,True,flag,False,False
genuine,528,109,109,False,high,True,True,reject,True,False
genuine,529,85,85,False,low,True,True,flag,False,False
genuine,530,109,109,False,middle,True,True,flag,False,False
genuine,531,92,92,False,middle,True,True,flag,False,False
genuine,532,85,85,True,middle,True,True,flag,False,False
genuine,533,109,109,False,middle,True,True,flag,False,False
genuine,534,51,51,True,high,True,True,accept,False,False
genuine,535,92,92,False,high,True,True,reject,True,False
genuine,536,87,87,True,middle,True,True,flag,False,False
genuine,537,92,92,False,high,True,True,reject,True,False
genuine,538,51,51,False,middle,True,True,flag,False,False
genuine,539,85,85,True,high,True,True,accept,False,False
